English Phrase,Meanings,Acts,Hindi Translation
abridgement of the work,,"s. 2(a)(iii), Copyright Act",कृति का संक्षेपण
abridges any of the rights,,"art. 31A, Const.",किसी अधिकार को न्यून करता है
"abroad, resident",,"s. 230(1), Indian Contract Act",।ह।
abrogate,"to abolish by official, authoritative or formal action; to annul a formal law by an act of the legislative power","s. 4, Navy Act",निराकृत होना
abrogate the right guaranteed,,,गारंटी किए गए अधिकार को निराकृत करना
abrogating any right,,s. 16. Copyright Act,किसी अधिकार को निराकृत करना
abrogation,,"s. 2(50), Companies Act",निराकरण
abscond,"to hide away, especially to escape arrest; to go out of the jurisdiction of the court to conceal oneself in order to avoid legal process or to escape arrest","s. 8, ill., (h), Indian Evidence Act",फरार होना
absconded or departed,,"s. 32, Provincial Insolvency Act",फरार हो गया है या चला गया है
absconder,one who absconds; one who hides to escape a legal process,,फरारी
absconding debtor,,,फरार ऋणी
absconding person,a person against whom a warrant has been issued and who has absconded so that such warrant cannot be executed,"ss. 82 and 83, Cr. P.C.",फरार व्यक्ति
absence abroad,,"s. 90(7), Presidency-towns Insolvency Act",विदेश वास के कारण अनुपस्थिति
absence allowance,,"s. 280(2)(e), Cantonments Act",अनुपस्थिति भत्ता
absence from duty,,,कर्तव्य से अनुपस्थिति
"absence of, during the",,"art. 91(2), Const.",।ह।
absence of evidence,,"s. 35, ill., T.P. Act",०
absence of person,,"s. 8, ill. (e), Indian Evidence Act",(९),
absence on duty in his district,,,अपने जिले में अन्यत्र कर्तव्यारूढ़ होने के कारण अनुपस्थिति
absence without leave,,"ss. 29(1) and 133(4), Navy Act and s. 92(b), Air Force Act",छुट्टी बिना अनुपस्थिति
absent,1. not present; being away in another place,"s. 26(1), prov., Representation of the People Act, 1951",अनुपस्थित
absent from duty,,,ड्यूटी से अनुपस्थित
absent on leave,,"2nd sch., para 11(b)(ii), Const.",छुट्टी लेकर अनुपस्थित
absent otherwise than on duty,,"s. 10(1), Registration Act",कर्तव्यारूढ़ होने से अन्यथा अनुपस्थित
"absent, physically",,,।ह।
absent without leave,,"s. 13(1)(b), Unit Trust of India Act and s. 13(2)(b), Industrial Finance Corporation Act",इजाजत के बिना अनुपस्थित
absorb absentation from intoxicants,,"s. 4(4), Probation of Offenders Act",हिंदी
absentee,,,अनुपस्थित
absentee statement,,,अनुपस्थिति विवरण
absolute,1. unqualified; free from external restraint or limitation,"s. 58(c), T.P. Act",आत्यंतिक
absolute deafness,,,पूर्ण बधिरता
absolute discharge,,"second sch., item (42), Provincial Insolvency Act",आत्यंतिक उन्
absolute interest,,,आत्यंतिक हित
absolute discretion,,,पूर्णतः विवेकाधीन
absolute liability,liability irrespective of intention or negligence such as liability for the escape of dangerous things,,आत्यंतिक दायित्व
absolute majority,a majority comprising more than half of the total number of votes,"s. 132(1), Army Act",स् पष् ट बहुमत
absolute or conditional,,"s. 129, Companies Act",आत्यंतिक या सशर्त रूपसे
"absolute, order made",,"s. 133(1), Cr. P.C.",।ह।
absolute order of discharge,,"s. 38(2)(a), Presidency-towns Insolvency Act and s. 41(2)(a), Provincial Insolvency Act",उन्
absolute owner,person capable of disposing the whole interest in immoveable property although it is charged or encumbered,"first sch., app. A, No. 13(2) and No. 35, C.P.C.",८४०८५ आत्यंतिक स्वामी
absolute power of disposition,,"s. 23, expln., 1, Estate Duty Act",व्ययन की आत्यंतिक शक्ति
absolute privilege,,,विशेषाधिकार
absolute right,,"sch. I, table A, interpretation 6, Companies Act",आत्यंतिक अधिकार
absolute title,,,आत्यंतिक हक
absolute undertaking,,"s. 3, Indian Carriage of Goods by Sea Act",स्पष्ट परिवचन
absolute warranty of seaworthiness,,"s. 3, Indian Carriage of Goods by Sea Act",८
absolutely,in an absolute manner or degree; without condition or limitation,"ss. 7, 67 and 135, T.P. Act",आत्यंतिक रूप से
absolutely debarred,,"first sch., app. D, form No. 3(5), C.P.C.",आत्यंतिकत
absolutely foreclosed,,"first sch., app, D. form No. 3(5), C.P.C.",आत्यंतिकत
absolutely or conditionally,,"s. 7, T.P. Act",आत्यंतिक रूप से या सशर्त
absolutely restraining the transferee,,"s. 10, T.P. Act",जो अंतरिती को आत्यंतिकत
"absolutely, transfer",,,।ह।
absolutely vested,,"s. 135, T.P. Act",आत्यंतिक रूप से निहित
absolutely void in law,,"s. 49(d)(1), Indian Stamp Act",विधि की दृष्टि से पूर्ण रूप से शून्य
absorb,to take in; to assimilate,"s. 12(1)(f), International Airports Authority Act",आमेलित करना
absorbed areas,,"s. 2(b), Absorbed Areas (Laws) Act",आमेलित क्षेत्र
absorbed employee,,"s. 2(a), Goa, Daman and Diu (Absorbed Employees) Act",आमेलित कर्मचारी
absorbed post,,"s. 2(b), Goa, Daman and Diu (Absorbed Employees) Act",आमेलित पद
absorbing State,,"s. 2(a), Merged States (Laws) Act",आमेलक राज् य
abstain,to keep oneself away (from); to withold oneself from (participation or action),"s. 2(a), Indian Contract Act",८४ प्रविरत रहना
abstain from a certain act,,"s. 144(1), Cr. P.C.",कार्य
abstaining,,,प्रविरत रहना
abstention,the action of abstaining,"s. 2(20), Employees",’
abstention from work,,"s. 2(20), Employees",’
abstinence,the action or practice of abstaining,"s. 2(a), Indian Contract Act",प्रविरति
abstract,a summary or an epitome,"s. 62, Mines Act and s. 165(3)(c), Companies Act",सार
abstract book,,,सार पुस्तिका
abstract contingent bill,,,संक्षिप्त आकस्मिक व्यय बिल
"abstract, in the",,,।ह।
abstract of tender,,,निविदा का सार
abstract of the instrument,,"s. 31(2), Indian Stamp Act",लिखत की संक्षिपति
abstract of the receipts of the company,,"s. 165(3)(c), Companies Act",०
abstract theory,,"s. 3(c), Patent Act",अमूर्त सिद्धांत
abstracting water,,"s. 20(2), Water (Prevention and Control of Pollution) Act",जल निकालना
abstraction,,"s. 39, Indian Electricity Act",निकालना
abstractor,,,संक्षेपकार
absurd,,,ंग्रेर्ज
absurd argument,,,हास् यास् पद तकर् ; बेतुका तकर्
absurdity,,,अर्थहीनता
abuse,1. misuse ; improper use ; perversion,"s. 482, Cr. P.C.",दरुुपयोग ; 2.
abuse of powers,,,शक्तियों का दुरुपयोग
abuse of the process (of court),improper use of a regular legal process by which an unfair advantage is obtained by a party to the proceeding over an opponent,"s. 482, Cr. P.C.",८
abusive language,,"s. 120(b), Indian Railways Act",गाली
abut,,"s. 2(iia), Cantonments Act",लगा होना ; सीमा स् पशर्न
abutting,having a common boundary with,"s. 52(2)(i), Inland Vessels Act",साथ लगा हुआ
abutting navigable channels,,"s. 52(2)(i), Inland Vessels Act",।ह।
academic,,,विद्या संबंधी
academic advisory committee,,"s. 14, Jawaharlal Nehru University Act",विद्या सल्राहकार समिति
academic body,,"s. 13(1), Jawaharlal Nehru University Act",शैक्षणिक निकाय
acceptance academic council,,"s. 3(2), Jawaharlal Nehru University Act and s. 2(a), Aligarh Muslim University Act",।ह।
academic distinctions,,"s. 6(1)(b), Institutes of Technology Act",विद्या संबंधी विशेष उपाधियां
academic education,,"s. 71A(c)(iii), Indian Railways Act",शास्त्रीय शिक्षा
academic institution,,,शैक्षणिक संस्था
academic interest,,"sch., statute 19(c), Aligarh Muslim University",शैक्षणिक हित
academic life,,"s. 29(1)(n), Aligarh Muslim University Act",शैक्षणिक जीवन
academic life of the university,,"s. 26(m), North-Eastern Hill University Act",विश्वविद्यालय का शैक्षणिक जीवन
academic matter,,"s. 33(2)(a), Institutes of Technology Act",शैक्षिक विषय
academic merit,,,शैक्षणिक योग्यता
academic officer,,"s. 19(2), Aligarh Muslim University Act",शैक्षणिक अधिकारी
academic performances,,"sch., 2, 15(7)(b), Visva Bharati Act",शैक्षणिक उपलब्धियां
academic policy,,"s. 25(1), Aligarh Muslim University Act",शैक्षणिक नीति
academic post,,"s. 5(6), University of Hyderabad Act",शैक्षणिक पद
academic qualifications,,,शैक्षणिक योग्यताएं
academic session,,"sch., statute 29(2)(b)(i), Aligarh Muslim University Act",०
academic staff,,"s. 27(k), Aligarh Muslim University Act",शैक्षणिक कर्मचारिवृंद
"academic staff, non-",,"s. 14(2)(a), Jawaharlal Nehru University Act",।ह।
academic step,,"s. 5(2), North-Eastern Hill University Act",शैक्षणिक कार्यवाही
academic work,,"sch., statute 25(1), Aligarh Muslim University Act",८४ शैक्षणिक कार्य
academic year,,,शैक्षणिक वर्ष
academy,"society of listed individuals united for advancement of art, science or literature; a school above the elementary level",,अकादमी
accede to,,"s. 517(1), Companies Act",सम्मिलित होना
acceding State,,"s. 3, Government Trading Taxation Act",सम्मिल्रित होने वाला राज्य
acceding to,,,अंगीकार करना
acceding to convention,,"art. 12(2), Foreign Awards (Recognition and Enforcement) Act",को अंगीकार करना
accelerate the death,,"s. 299, expln. I, I.P.C.",मृत्यु त्वरित कर देना
acceleration of estate,,,संपदा की त्वरित प्राप्ति
accept,to take or receive with consenting mind,"s. 2(b), Indian Contract Act",करना
accept the confidence,,"s. 3, Indian Trusts Act",विश्वास प्रतिगृहीत करना
accept the plea,,,।ह।
acceptability,,,स् वीकायर्ता
acceptable,worthy or likely to be accepted,,प्रतिग्राहय
acceptance,the action or fact of accepting; in its widest sense it is the act of assenting to an offer,"ss. 35 and 112, T. P. Act",प्रतिग्रहण
"acceptance, general acceptance, general",,,दी
acceptance house,1.,,स्वीकृति गृह
acceptance must be absolute,,"s. 7, Indian Contract Act",प्रतिग्रहण आत्यंतिक होना ही चाहिए
acceptance of bill,the signification by the drawee of his assent to the order of a drawer,,विनिमय पत्र का प्रतिग्रहण
acceptance of promise,,"s. 9, Indian Contract Act",वचन का प्रतिग्रहण
acceptance of proposal,,"s. 3, Indian Contract Act",८
acceptance of tender,,,निविदा की स्वीकृति
"acceptance, qualified",,,।ह।
acceptances,,,स्वीकृत हुंडी
acceptances book,,,स्वीकार बही
accepted as authentic,,"s. 52(r)(ii), prov., Copyright Act",अधिप्रमाणित रूप में स्वीकृत
accepted as correct,,"s. 9(b), Companies (Profits) Surtax Act",ठीक मान कर स्वीकृत कर ली गई
acceptor,one who accepts,"s. 7, Negotiable Instruments Act",प्रतिग्रहीता
acceptor for honour,,"s. 7, Negotiable Instruments Act",आदणणार्थ प्रतिग्रहीता
acceptor of bill of exchange,the person who accepts a bill of exchange (generally the drawee) or who engages to be primarily responsible for its payment,"ss. 41 and 42, Negotiable Instruments Act and s. 14, Indian Evidence Act",विनिमय पत्र का प्रतिग्रहीता
acceptor supra protest,"one who accepts a protested bill of exchange on which he is not already liable for the honour of some party to the bill, the accept, being liable to the holder and all parties subsequent to the one for whose honour he accepts","s. 7, Negotiable Instruments Act",८ प्रसाक्ष्याधीन प्रतिग्रहीता
access,"1. approach, or the means, power, or opportunity of approaching; an opportunity for sexual intercourse","s. 112, Indian Evidence Act and s. 55(1), C.P.C.",पहंुच ; 2.
access and use of light,,"s. 25(1), Limitation Act",प्रकाश का प्रवेश और उपयोग
access by scaling or climbing over any wall,,"s. 445, secondly, I.P.C.",किसी दीवार पर सीढ़ी द्वारा या अन्यथा चढ़कर पहुंच
accessible,1. capable of being reached,"s. 12, Beedi and Cigar Workers (Conditions of Employment) Act",पहुंच में
accessible place,,"s. 3E, Employment of Children Act",सुगम स् थान 4
accessibility,,"s. 18(1), Indian Electricity Act",पहंुच
accession,"1. coming to as an addition; the mode of acquiring property by which the owner of a corporal substance (as land or cattle) becomes the owner of addition by growth, increase or labour; any property so acquired","s. 63, T.P. Act",अनुवृद्धि
"accession, instrument of",,"art. IX(2), Foreign Awards Act",अंगीकार पत्र
accession to office,,,पदारोहण
accommodation for the crossing of a road accessory,1. an object or device is not essential in itself but that adds to the convenience or effectiveness of something else; an adjunct or accompaniment,"s. 2(a)(iii), Essential Commodities Act and fifth sch., item 8, Income-tax Act",उपसाधन ; 2.
accessory licence,a licence necessary for the enjoyment of any interest or the exercise of any right,"s. 55, Indian Easements Act",समनुषंगिक अनुज़प्ति
accessory obligation,an obligation subordinate to the main or principal one; such as an obligation to pay annual rent under a lease,,उपबाध् यता
accessory of an automobile,,"s. 2(a)(iii), Essential Commodities Act",मोटर गाड़ी का उपसाधन
accessory products,,,समनुषंगिक उत्पाद
accessory right,a right supplementary or secondary to a right of greater or primary importance,"s. 24, Indian Easements Act",समनुषंगिक अधिकार
accessory to,,"s. 30(1)(c), Trade and Merchandise Marks Act",का उपसाधन
accident,"1. a sudden event occurring without intent or volition whether through negligence, carelessness, unawareness, ignorance or a combination of causes and producing an unfortunate result; an unexpected happening causing loss or injury which is not due to the fault of the person","s. 80, I.P.C.",दघुर्टना ;
accident at sea,,"s. 82(1), Indian Railways Act",समदु्र पर दघुर्टना
accident of the sea,,"sch., art. IV(2)(c), Indian Carriage of Goods by Sea Act",०
accident prone area,,,दुर्घटना संभावित क्षेत्र
accidental,happening by or pertaining to chance,"s. 15, Indian Evidence Act and s. 57(v), Mines Act",आकस्मिक
accidental fire,,"s. 33B(iii), Income-tax Act",आकस्मिक आग
accidental omission,,"s. 152, C.P.C., s. 172(3), Companies Act and s. 40(2), Children Act",आकस्मिक
accidental slip,,"s. 152, C.P.C. and s. 40(2), Children Act",आकस्मिक भूल
accidentally,in an accidental manner; without intention or design,"s. 58(1) (a), Representation of the People Act, 1951",घटनावश ;
"accidents, fortuitous",,"Rules for Policy, para 7, Marine Insurance Act",।ह।
accidents investigation officer,,,दुर्घटना अन्वेषण अधिकारी
accommodation,1. anything which serves the need of residence,"s. 55(1), C.P.C.",वास
accommodation and conveyance,,"s. 50(d), Indian Railways Act",८
"accommodation, as an",,"s. 44, ill., Negotiable Instruments Act",।ह।
accommodation draft,,,सौकयर् ड्राफ्ट
accommodation for the crossing of a road,,"s. 11(3)(c), Indian Railways Act",सड़क पार करने के लिए सुविधा
accommodation free of charge accommodation free of charge,,"s. 198(4), expln. (a), Companies Act",प्रभार-मुक् त वास
accommodation holding,,,वास प्रक्षेत्र
"accommodation, house",,"s. 2(vi)(e)(2), Payment of Wages Act",।ह।
"accommodation, housing",,"s. 10(20A), Income-tax Act",।ह।
accommodation letter,,,सौकयर् पत्र
accommodation note,,,सौकयर् पत्र
accommodation note or bill,"a note or bill made, drawn, accepted or endorsed by one person for another without consideration to enable that other to raise money or obtain credit thereby","s. 59, prov., Negotiable Instruments Act",सौकर्य पत्र या विपत्र
accommodation of persons,,"s. 3(2)(b), Requisitioning and Acquisition of Immovable Property Act",व्यक्तियों की वास
accommodation of travellers,,"sch. I, table D, item 3, Companies Act",८
accommodation officer,,,आवास अधिकारी
accommodation works,,"s. 11(3)(a), Indian Railways Act",सुविधा संकर्म
accomplice,one concerned with another or others in the commission of offence; an associate in crime or guilt,"ss. 114, ill. (b), 133, Indian Evidence Act and s. 192, ill. (c), I.P.C.",सह अपराधी
accomplish,to complete,"s. 148, Indian Contract Act",पूरा करना
accomplishment of purpose,,,प्रयोजन पूरा होना
accord and satisfaction,mutual agreement and fulfilment of obligation,,समझौता और
"accordance with, in",,"s. 12(1), Maternity Benefit Act",के अनुसार
"accorded, given or granted",,"s. 629A, Companies Act",।ह।
according as the state of business,,"s. 3, Civil Courts Amins Act",काम की अपेक्षानुसार
according to,,"s. 235(2), Cr. P.C.",के अनुसार
according to law,,"s. 235(2), Cr. P.C.",विधि के अनुसार
accordingly,in accordance with the premises,"s. 117, Cr. P.C.",तदनुसार
account,1. a statement of moneys received and paid with calculation of balance,,लेखा
"account, abstract",,,सार लेखा
"account, bad debt reserve",,,।ह।
"account, bad debts",,,डूबंत ऋण लेखा
"account, balance an",,,।ह।
"account, balance on",,,लेखा संतुलन
"account, banking",,"s. 19(2)(b), Indian Partnership Act",।ह।
account book,,"ss. 34, ill. and 126, expln., ill. (c), Indian Evidence Act and s. 2(3), Bankers",'
"account, brokerage",,,।ह।
"account, capital",,,पंूजीगत लेखा
"account, cash",,,रोकड़ लेखा
account circle,,,लेखा सर्किल
"account, nominal account, clear an",,,लेखा शोधन
account clerk,,,लेखा लिपिक
"account, close an",,,खाता बंद करना
"account, commission",,,कमीशन लेखा
"account, consignment",,,परेषण लेखा
"account, contract",,,।ह।
"account, controlling",,,।ह।
"account, cost",,,लागत लेखा
"account, current","the amount of money a person has deposited at a bank or which he can draw from or add to as may be desired, generally no interest being chargeable on either side",,चालू खाता
"account, deficiency",,,कमी लेखा
"account, departmental",,,।ह।
"account, deposit",,,।ह।
"account, depreciation",,,।ह।
"account, direct",,,।ह।
"account, discount",,,बट्टा लेखा
"account, doubtful debt",,,शकंास् पद ऋण लेखा
account down to the time,,"s. 571(2), Companies Act",समय तक का खाता
"account, drawing",,,आहरण लेखा
"account, duplicate",,"s. 203, Indian Succession Act",दोहरा लेखा
"account, exchange",,,।ह।
"account, falsification of",,,।ह।
"account, fictitious",,,।ह।
"account, final",,,।ह।
"account, finance",,,।ह।
"account, fixed deposit",,,।ह।
account for,1. to give an account of; to answer for,"s. 195, ill. (b), Indian Contract Act and s. 27C(2), Emigration Act",लेखा
account for the proceeds,,"s. 195, ill. (b), Indian Contract Act",आगमों का लेखा
"account, goods",,,माल लेखा
account head,,,लेखा शीषर्
"account, impersonal",,,।ह।
"account, income and expenditure",,,आय-व् यय लेखा
"account, indemnity insurance",,,।ह।
"account, initial",,,।ह।
account is to be taken or vouched,,"Or. 20, r. 17, C.P.C.",८
"account, joint",,,संयुक् त खाता
account jurisdiction,,,लेखा अधिकारिता
account keeping,,,लेखा पालन
"account, leave out of",,,।ह।
"account, mines",,,खान लेखा
"account, miscellaneous",,,।ह।
account month,,,लेखा मास
"account, multiple cost",,,।ह।
"account, nominal",,,आय-व् यय लेखा
account of interest demand,,,ब् याज मागं लेखा
account of issues,,,निर्गम लेखा
"account of, on",,"s. 76(h), T.P. Act",के मद्धे ; मद्धे
account of profits,,"s. 108, Patents Act",लाभ लेखा
account of the credits,an account of the credit side entries,,पावनों का लेखा
account of the winding up,,"s. 497(1)(a), Companies Act",परिसमापन का वृत्तांत
"account, on",,"s. 3, High Denomination Bank Notes (Demonetisation) Act",ज
"account, on his",,"sch. I, app. A, form No. 6, C.P.C",।ह।
"account, open",,"sch., art. 1, Limitation Act",खुला खाता
account opened,,"s. 10(3), Foreign Exchange Regulation Act",खोला गया खाता
"account, operation",,,।ह।
"account, output cost",,,उत् पादन लागत लेखा
"account, payee",,,पाने वाले का लेखा
account payee,,,पा/खाता
account payee cheque,,,पाने वाले के खाते में देय चैक
"account, personal",,,।ह।
"account, petty cash",,,खुदरा रोकड़ लेखा
"account, post in",,,।ह।
"account, private",,,प्राइवेट लेखा
"account, profit and loss",,,।ह।
"account, profit and loss adjustment",,,हिंदी
"account, profit and loss appropriation",,,ंदी
"account, proforma",,,प्रोफामार् लेखा
"account, progressive",,,प्रगामी लेखा
"account, property",,,।ह।
"account, public",,,लोक लेखा
"account, purchase",,,क्रय लेखा
"account, purchase ledger adjustment",,,क्रय खाता समायोजन लेखा
"account, real (property)",,,।ह।
"account, realisation",,,।ह।
"account, receipts and payments",,,।ह।
"account, regular",,,।ह।
"account, reserve",,,।ह।
"account, residuary",,,।ह।
account return,,,लेखा विवरणी
"account, revenue",,,राजस् व लेखा
"account, rough",,,कच् चा लेखा/खाता
"account, royalties suspense",,,।ह।
"account, running",,,चाल ूखाता
"account, salaries",,,वेतन लेखा
"account, sales guard book",,,।ह।
"account, separate",,,पथृक् खाता
account shall also be taken of the deductions,,"s. 34(2), expln., Income-tax Act",कटौतियों को भी हिसाब में लिया जाएगा
"account, shall not taken into",,,।ह।
accounting year account shall not be taken,,"s. 43A, second prov., Companies Act",ी
account should be taken,,"Or. 20, r. 16, C.P.C.",०४
"account, single",,,एकल लेखा
"account, single cost",,,एकल लागत लेखा
"account, sinking fund investment",,,।
"account, sold ledger investment",,,ह।
"account, special goods",,,।ह।
"account, stock",,,स् टाक लेखा
"account, store",,,भंडार लेखा
"account, subsidiary",,,सहायक लेखा
"account, take into",1. to notice,,।ह।
"account, terminal",,,।ह।
"account, trading",,,व् यापार लेखा
"account, trading and profit and loss",,,हिंदी
"account, trust",,,न् यास लेखा
"account, value",,,मलू् य लेखा
"account, voyage",,,समुद्र यात्रा लेखा
"account, wages",,,।ह।
"account, workshop",,,कमर्शाला लेखा
"account, write off an",,,लेखा बट्टे खाते डालना
accountable,,"s. 14, Charitable Endowments Act",जवाबदार; लेखादायी; देनदार
accountable or liable,,"s. 543(1)(a), Companies Act",दायित्वाधीन या लेखादायी
accountable person,,"s. 2(12A), Estate Duty Act",लेखादायी व्यक्ति
accountancy,the profession or practice of accounting,"s. 288(2)(v), Income-tax Act",लेखा-कमर्
accountant,an officer in charge of the accounts; one who professionally makes up accounts,"s. 2, Public Accountants",'
"accountant, chartered",,"s. 2(1)(b), Chartered Accountants Act and s. 3(1)(iii), Working Journalists (Fixation of Rates of Wages) Act",।ह।
"accountant, divisional",,,प्रभागीय लेखाकार
accountant general,,,महालेखाकार
"accountant, junior",,,।ह।
accountant member,,"s. 252(2), Income-tax Act",लेखा सदस् य
"accounted for, cannot be satisfactorily",,,दी
accounting,,,लेखांकन
accounting arrangements,,,लेखा व् यवस् था
accounting for,,"s. 30(2)(f), Official Trustees Act",लेखा देना
accounting period,,"s. 32A(1), Industrial Finance Corporation Act",लेखा कालावधि
accounting system,,,लेखा प्रणाली
accounting unit,,,लेखा इकाई
accounting year,a period of one year for which accounts are separately closed and balanced,"s. 2(1), Payment of Bonus Act and s. 29(1), Agricultural Refinance Corporation Act",लेखा वषर्
accounts and audit accounts and audit,,s. 5. Dakshina Bharat Hindi Prachar Sabha Act,हिंदी
"accounts, books of",,,।ह।
"accounts, clear and accurate",,"s. 19, Indian Trusts Act",।ह।
"accounts, closed and balanced",,"s. 2(1)(iii)(b), Payment of Bonus Act",।ह।
accounts have been made up,,"sch. IV, pt. 1, Companies Act",लेखा तैयार किए गए हैं
"accounts, initial",,,।ह।
"accounts, manipulation of",,,।ह।
accounts of profit,,,लाभ लेखा
accounts of receipts and balance,,,प्राणति और अतिशेष लेखा
accounts of the assessee have been made up to a date,,"s. 3(b), Income-tax Act",निर्धारिती के लेखे किसी तारीख तक के लिए तैयार किए गए हैं
accounts of the States,,"art. 149, Const.",राज्यों के लेखे
accounts of the Union,,"art. 110(1)(f), Const.",संघ के लेखे
accounts officer,,,लेखा अधिकारी
"accounts, organisation of",,,लेखा सगंठन
"accounts, records and other documents",,"s. 16(4), Wealth-tax Act and s. 15(4), Gift-tax Act",िंदी
"accounts, settling of",,,।ह।
accounts shall be audited,,"s. 619(3)(a), Companies Act",लेखाओं की संपरीक्षा की जाएगी
